Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",0402,2,100nF,
"C6, C7",0603,2,10uF,
"D10, D11, D13, D14, D15, D17, D18, D2, D20, D23, D24, D25, D26, D28, D29, D3, D30, D32, D33, D34, D35, D36, D38, D39, D4, D41, D5, D6, D8, D9",0402,30,LED_45deg,
J1,PinHeader_1x02_P1.00mm_Vertical,1,AAAA BATT,
J2,PinHeader_1x02_P1.00mm_Vertical,1,Front 3.3v LED,
J3,PinHeader_1x04_P1.00mm_Vertical,1,MLX90614ESF-DCC-000-TU,
J4,PinHeader_1x02_P1.00mm_Vertical,1,BUZZ,
J5,PinHeader_1x05_P1.00mm_Vertical,1,DEBUG,
L1,0603,1,2.2uH,
"R1, R2, R3, R4, R5, R6",0402,6,68,
R10,0402,1,150,
"R27, R28",0402,2,100,
R7,0402,1,80.6k,
"R8, R9",0402,2,4.7k,
SW1,KEY-SMD_B3U-1000PM,1,B3U-1000P,C231329
U1,QFN-20_L3.0-W3.0-P0.40-BL-EP1.7,1,ATTINY1616-MNR,C507118
U2,TDFN-6_L2.0-W2.0-P0.65-BL,1,MAX17222ELT+T,C1121854
