Designator,Mid X,Mid Y,Rotation,Layer
C1,24.575001,-2.299995,0.0,top
C4,40.175001,-6.899995,180.0,top
C6,2.775001,-1.299995,180.0,top
C7,2.975001,-6.499995,0.0,top
D10,21.57379,-5.235028,90.0,top
D11,10.575784,-2.438841,90.0,top
D13,17.846942,-2.438841,90.0,top
D14,13.172287,-6.63224,0.0,top
D15,12.175,-5.230703,90.0,top
D17,20.675001,-6.625957,0.0,top
D18,17.87379,-5.235028,90.0,top
D2,9.575943,-1.044835,0.0,top
D20,12.169936,-2.438841,90.0,top
D23,19.57379,-5.235028,90.0,top
D24,19.546942,-2.438841,90.0,top
D25,20.547074,-3.833529,0.0,top
D26,10.574999,-5.236837,90.0,top
D28,16.875087,-6.636218,0.0,top
D29,13.167752,-3.835533,0.0,top
D3,13.170512,-1.041141,0.0,top
D30,15.87379,-5.235028,90.0,top
D32,9.578715,-6.636072,0.0,top
D33,15.846942,-2.438841,90.0,top
D34,16.847074,-3.833529,0.0,top
D35,8.574999,-5.236837,90.0,top
D36,8.575784,-2.438841,90.0,top
D38,23.075001,-1.599995,90.0,top
D39,23.075001,-3.499995,90.0,top
D4,16.853769,-1.046513,0.0,top
D41,9.594029,-3.83116,0.0,top
D5,14.169936,-2.438841,90.0,top
D6,14.175,-5.230703,90.0,top
D8,20.553769,-1.046513,0.0,top
D9,21.546942,-2.438841,90.0,top
J1,2.475001,-3.899995,0.0,top
J2,33.675001,-1.399995,90.0,top
J3,40.574994,-3.799995,0.0,top
J4,33.774998,-6.599998,90.0,top
J5,37.775002,-3.799993,180.0,top
L1,5.775001,-1.299995,0.0,top
R1,24.075001,-4.099995,270.0,top
R10,29.075001,-0.799995,180.0,top
R2,23.589781,-5.499995,0.0,top
R27,31.075001,-2.389996,270.0,top
R28,31.275001,-7.299995,0.0,top
R3,25.475001,-5.999995,0.0,top
R4,27.375001,-6.299995,0.0,top
R5,29.275001,-6.099995,180.0,top
R6,29.275001,-7.299995,0.0,top
R7,6.575001,-3.099995,90.0,top
R8,30.775001,-3.999995,180.0,top
R9,30.075001,-2.599995,270.0,top
SW1,33.975001,-4.099995,0.0,top
U1,27.29625,-3.599995,0.0,top
U2,4.925001,-3.799995,0.0,top
